ZIP,Current,1/31/00,2/29/00,3/31/00,4/30/00,5/31/00,6/30/00,7/31/00,8/31/00,9/30/00,10/31/00,11/30/00,12/31/00,1/31/01,2/28/01,3/31/01,4/30/01,5/31/01,6/30/01,7/31/01,8/31/01,9/30/01,10/31/01,11/30/01,12/31/01,1/31/02,2/28/02,3/31/02,4/30/02,5/31/02,6/30/02,7/31/02,8/31/02,9/30/02,10/31/02,11/30/02,12/31/02,1/31/03,2/28/03,3/31/03,4/30/03,5/31/03,6/30/03,7/31/03,8/31/03,9/30/03,10/31/03,11/30/03,12/31/03,1/31/04,2/29/04,3/31/04,4/30/04,5/31/04,6/30/04,7/31/04,8/31/04,9/30/04,10/31/04,11/30/04,12/31/04,1/31/05,2/28/05,3/31/05,4/30/05,5/31/05,6/30/05,7/31/05,8/31/05,9/30/05,10/31/05,11/30/05,12/31/05,1/31/06,2/28/06,3/31/06,4/30/06,5/31/06,6/30/06,7/31/06,8/31/06,9/30/06,10/31/06,11/30/06,12/31/06,1/31/07,2/28/07,3/31/07,4/30/07,5/31/07,6/30/07,7/31/07,8/31/07,9/30/07,10/31/07,11/30/07,12/31/07,1/31/08,2/29/08,3/31/08,4/30/08,5/31/08,6/30/08,7/31/08,8/31/08,9/30/08,10/31/08,11/30/08,12/31/08,1/31/09,2/28/09,3/31/09,4/30/09,5/31/09,6/30/09,7/31/09,8/31/09,9/30/09,10/31/09,11/30/09,12/31/09,1/31/10,2/28/10,3/31/10,4/30/10,5/31/10,6/30/10,7/31/10,8/31/10,9/30/10,10/31/10,11/30/10,12/31/10,1/31/11,2/28/11,3/31/11,4/30/11,5/31/11,6/30/11,7/31/11,8/31/11,9/30/11,10/31/11,11/30/11,12/31/11,1/31/12,2/29/12,3/31/12,4/30/12,5/31/12,6/30/12,7/31/12,8/31/12,9/30/12,10/31/12,11/30/12,12/31/12,1/31/13,2/28/13,3/31/13,4/30/13,5/31/13,6/30/13,7/31/13,8/31/13,9/30/13,10/31/13,11/30/13,12/31/13,1/31/14,2/28/14,3/31/14,4/30/14,5/31/14,6/30/14,7/31/14,8/31/14,9/30/14,10/31/14,11/30/14,12/31/14,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22,4/30/22,5/31/22,6/30/22,7/31/22,8/31/22
Default,151922,73944,73936,73904,74091,74479,75005,75358,75633,75946,76392,76902,77589,78098,78615,78836,78998,79100,79173,79497,79718,80017,80316,80456,80648,80693,80832,80893,81190,81586,82151,82508,82968,83250,83506,83592,83726,83896,84232,84448,84584,84727,84900,85248,85429,85768,86038,86330,86515,86550,86650,86832,87090,87355,87517,87866,88160,88560,88987,89328,89702,90561,91498,92231,92480,92720,93272,93823,94054,94213,94349,94288,94304,93888,93978,94090,94604,94936,95193,95203,95452,95598,96138,96504,97039,97353,97680,98060,98536,99026,99395,99766,100350,101048,101840,102608,103320,103874,83766,84184,84702,84943,84906,84858,84876,84985,84572,84083,83682,100433,100334,99904,99587,99550,99868,99895,99889,99409,98696,98374,98098,97828,97660,97630,97827,97877,98148,98206,98198,97702,97117,96318,95693,95171,94639,94259,94178,94317,94590,94756,94466,93954,93157,92459,91905,91972,91643,91484,91381,91746,92044,92404,92536,92605,92415,92481,92460,92654,92716,92832,93004,93010,92995,93024,93003,93070,92940,93168,93343,93537,93745,94050,94288,94582,94845,95182,95541,95838,96229,96464,96866,97220,97656,98007,98285,98596,98904,99262,99623,99855,100037,100160,100574,100912,101191,101194,101404,101710,102171,102548,103028,103249,103515,103683,104124,104345,104577,104902,105381,105914,106174,106449,106656,107035,107475,107664,107891,108031,108056,107996,108452,109313,110465,111329,111647,111884,111809,111932,111653,112024,112542,113466,114200,114937,115496,116235,116826,117262,117719,117864,118109,117776,117420,117053,116819,116602,116503,116772,116847,116788,116683,117580,118726,121057,123574,125930,127528,128844,130700,132248,133902,135292,136776,137834,140165,142448,145024,146367,147508,148230,149329,150494,151922
40011,176867,86971,86848,86875,87160,87892,88636,89173,89474,89849,90402,90968,91810,92288,93075,93546,93975,94340,94548,95238,95530,95904,96144,96315,96640,96965,97204,97364,97738,98348,99137,99565,100194,100488,100834,100929,101115,101323,101853,102150,102369,102633,103077,103808,104107,104631,105002,105411,105658,105725,105938,106288,106675,107161,107487,108108,108499,108951,109476,109873,110366,111646,112925,113845,113884,113924,114505,115153,115343,115497,115723,116167,116649,116696,116995,117235,117464,117489,117521,117673,117891,117998,118428,118706,119129,119268,119642,119895,120176,120241,120126,120175,120643,121178,121753,121827,122033,122009,122275,122396,122370,122116,121520,121305,120946,121046,120839,120722,120460,120289,120490,120619,120780,120039,119578,119082,118840,118479,118105,117970,117719,117419,117218,117337,117417,117759,117723,117671,117319,117221,117042,116915,116609,116253,115967,115729,115793,115803,115940,115823,114026,112230,110433,108637,106840,106826,106913,107067,107212,107222,107100,107036,107095,107278,107367,107466,107532,107615,107630,107718,107820,107731,107516,107371,107512,107534,107570,107320,107343,107302,107493,107649,108054,108294,108477,108402,108518,108715,108881,109037,109361,109900,110434,110709,110973,111393,111923,112377,112784,113286,113764,114168,114624,114923,115227,115406,115824,116318,116999,117609,118187,118536,118731,119083,119429,120051,120382,120903,121319,121899,122298,122932,123576,124374,125172,126016,126825,126661,126528,126349,126942,127459,127943,128433,128765,129022,128606,128140,127695,128084,128774,129534,130230,130837,131592,132530,133558,134560,135323,135630,135822,134844,133949,133278,133764,134068,134082,134114,134676,135440,136175,137496,139049,142084,144857,147609,149212,150883,152739,154518,156074,157278,158628,159841,162845,165789,168694,170115,171356,172496,173908,175376,176867
46941,164139,72901,72893,72861,73046,73428,73947,74295,74566,74875,75314,75817,76494,76996,77506,77724,77883,77984,78056,78375,78593,78888,79183,79321,79510,79555,79692,79752,80045,80435,80992,81344,81797,82075,82328,82413,82545,82712,83044,83257,83391,83532,83702,84045,84224,84558,84824,85112,85294,85329,85428,85607,85861,86123,86282,86626,86916,87311,87732,88068,88436,89283,90207,90930,91175,91412,91956,92499,92727,92884,93018,92958,92974,92563,92652,92763,93269,93597,93850,93860,94105,94249,94782,95142,95670,95980,96302,96677,97146,97629,97993,98358,98934,99622,100403,101160,101862,102409,82584,82996,83507,83745,83708,83661,83679,83786,83379,82897,82501,99016,98918,98495,98182,97790,98052,98047,98274,97886,97529,97594,97524,97534,97169,97105,97033,96765,96490,96570,96723,96306,95496,94844,94856,94788,94448,94038,93632,93422,93024,92866,92795,92735,92596,92619,92914,93142,92993,92880,92792,92774,92965,93255,93692,93924,93973,94360,94721,95282,95523,95724,95803,95778,95619,95664,95716,95995,95984,96516,97031,96894,96331,95787,96134,96278,96436,96615,96935,97355,97666,98021,98414,98830,99337,99814,100171,100266,100322,100403,100568,100417,100420,100425,100609,100762,100941,101162,101521,102052,102562,102927,103492,103970,104555,104655,105005,105408,106091,106623,107131,107694,108216,108813,109343,109993,110662,111308,111854,112980,114123,115487,115994,116563,117012,117614,118105,118617,118724,118924,118969,119744,120564,121513,122070,122508,122822,123455,124162,125178,126070,126849,127460,127947,128217,128254,128204,128559,128951,128995,128596,128512,128782,130038,131036,133590,135686,138207,139778,141505,143245,144840,146329,147727,148913,149978,152011,153746,155788,156880,158489,159776,161489,162758,164139
54560,213465,110778,110766,110718,110998,111579,112367,112896,113308,113777,114445,115209,116239,117001,117776,118107,118350,118502,118612,119097,119428,119876,120324,120534,120821,120889,121097,121188,121633,122227,123073,123608,124297,124720,125103,125232,125433,125687,126191,126514,126718,126932,127191,127713,127984,128492,128896,129334,129611,129663,129813,130086,130472,130869,131112,131635,132075,132675,133314,133825,134386,135672,137076,138174,138547,138907,139734,140559,140905,141144,141347,141256,141280,140657,140792,140959,141729,142227,142612,142627,143000,143219,144028,144576,145377,145848,146338,146907,147620,148354,148907,149463,150338,151383,152570,153720,154787,155617,125493,126119,126895,127256,127200,127129,127156,127319,126700,125968,125367,150462,151309,151361,152629,153101,154354,155107,155281,154263,151982,151003,150207,149632,149210,148796,149539,149885,151301,151674,152018,150593,148798,146011,143624,141784,140131,139189,139110,139839,141024,141875,141873,140737,139275,138164,137530,137639,136123,135451,134893,136607,138023,139289,139373,138960,137480,136586,135645,135431,135072,134873,135212,134746,134327,133821,133424,132971,131643,131470,131106,131678,132446,133824,134177,134987,135716,136719,137306,137710,138528,138944,139514,139913,140646,141422,142123,142843,143385,143914,144293,144482,144076,143469,143828,144006,144192,142925,142780,142823,143420,143620,143982,143986,143989,143617,143634,142755,142391,142496,143720,145126,146144,146885,146805,146279,146072,146527,147672,148578,149743,150702,151879,153265,154783,155938,156532,157375,158505,159557,160217,160407,160314,160279,160106,160362,161020,162327,163514,163713,164003,163570,163644,162875,163045,163112,163121,162882,163277,164179,165132,165774,167175,169692,172208,175699,178358,181165,183168,185501,188244,190094,191880,193542,195767,197158,200428,203319,205963,206366,206815,207357,209160,210974,213465
